CGPA,Attendance,Backlogs,ParentalIncome,BehaviorRating,PerformanceTrend,RiskLabel
4.19,95,7,143653,6,1,High Risk
6.23,65,6,21064,1,-1,Suspended
5.51,74,5,12382,4,-1,High Risk
6.36,96,2,55095,7,0,Medium Risk
4.92,89,3,143962,2,0,Suspended
8.57,38,3,141742,2,-1,Dropout
2.81,77,0,102067,8,-1,High Risk
6.55,74,5,111158,4,-1,High Risk
2.11,93,3,29996,7,-1,High Risk
4.71,35,4,118944,7,1,Dropout
6.66,93,1,133683,5,-1,High Risk
6.93,71,3,128028,6,1,Low Risk
3.45,88,1,16859,1,0,Suspended
7.43,41,2,145958,2,0,Suspended
8.21,91,5,112638,3,0,High Risk
7.84,90,0,47019,5,0,Low Risk
4.17,56,3,138585,7,-1,High Risk
8.36,33,7,135814,6,0,Dropout
7.45,62,3,39063,1,-1,Suspended
4.02,99,4,118036,8,0,High Risk
7.2,35,0,143175,8,1,Dropout
9.03,47,1,91159,1,0,Suspended
7.51,67,7,85403,3,-1,High Risk
5.63,44,7,73344,3,1,High Risk
4.81,83,2,124589,5,1,High Risk
2.12,60,5,116609,1,1,Suspended
8.53,87,2,96724,5,-1,High Risk
6.58,54,3,85324,3,1,Medium Risk
7.27,90,2,123711,3,1,Low Risk
9.24,84,3,132564,5,1,Low Risk
5.46,79,3,105989,1,0,Suspended
7.58,54,5,24026,2,1,Suspended
7.28,50,3,46182,9,1,Medium Risk
7.44,83,1,10917,3,-1,High Risk
6.96,33,0,26999,6,0,Dropout
6.52,75,5,145601,1,1,Suspended
3.34,41,7,76677,4,0,Dropout
9.1,57,7,146285,2,-1,Suspended
8.5,95,3,33989,8,1,Low Risk
2.41,37,4,99049,1,1,Dropout
8.89,91,2,99132,8,1,Low Risk
7.75,64,2,125945,1,1,Suspended
6.7,86,7,79341,4,1,High Risk
5.4,41,0,45903,3,0,Medium Risk
5.01,79,6,127305,2,1,Suspended
5.66,39,7,55619,5,1,Dropout
9.69,69,7,71799,8,-1,High Risk
3.81,89,1,26351,4,-1,High Risk
3.33,33,6,48225,6,1,Dropout
9.7,51,1,137006,7,1,Medium Risk
6.39,91,4,55541,8,0,Medium Risk
4.43,73,7,35566,9,1,High Risk
2.44,85,1,140956,9,0,High Risk
7.2,69,0,97438,7,1,Medium Risk
6.39,61,0,41379,5,0,Medium Risk
5.67,92,3,124091,6,1,Medium Risk
7.13,77,1,21151,7,1,Low Risk
5.54,91,7,44700,1,-1,Suspended
3.37,89,1,142702,6,1,High Risk
9.27,61,2,13262,6,-1,High Risk
4.17,57,2,16901,2,0,Suspended
6.71,67,7,149335,9,0,High Risk
4.92,39,2,24079,1,1,Dropout
8.59,98,5,138126,9,1,High Risk
3.7,51,3,25916,2,-1,Suspended
6.89,83,3,55536,1,1,Suspended
3.56,53,1,113751,2,1,Suspended
2.31,75,7,101911,7,-1,Dropout
5.64,90,7,92806,2,0,Suspended
5.35,46,5,59649,2,-1,Suspended
7.26,50,7,89414,1,1,Suspended
6.8,81,1,57574,4,0,Low Risk
6.3,81,0,44485,1,1,Suspended
7.88,38,7,29692,9,-1,Dropout
3.48,56,5,39963,1,1,Suspended
8.25,91,2,123502,1,-1,Suspended
3.85,69,6,23233,6,-1,Dropout
7.85,83,7,118464,3,1,High Risk
4.69,78,4,33666,2,1,Suspended
2.32,57,2,67616,6,1,High Risk
3.5,57,1,86918,5,1,High Risk
5.95,78,2,141379,1,-1,Suspended
4.71,89,5,35954,8,1,High Risk
8.63,71,1,23255,8,0,Low Risk
9.24,56,0,53919,8,1,Medium Risk
3.17,43,4,115982,2,1,Suspended
3.92,55,3,108239,8,0,High Risk
3.38,53,4,134857,1,1,Suspended
5.61,82,3,25641,2,1,Suspended
8.9,41,6,131987,7,1,High Risk
2.84,95,5,33929,5,-1,High Risk
8.73,91,4,103664,4,0,Low Risk
7.32,81,6,35901,9,-1,High Risk
6.55,34,5,45440,7,1,Dropout
9.27,52,7,52946,8,0,High Risk
6.37,81,0,144855,7,1,Medium Risk
8.25,34,1,70652,5,1,Dropout
4.82,88,4,86996,9,1,High Risk
6.64,94,7,12866,7,0,High Risk
8.16,92,7,105676,6,0,High Risk
8.19,87,4,93639,2,1,Suspended
2.9,30,6,96567,5,1,Dropout
6.48,92,1,82373,5,1,Medium Risk
8.4,67,2,57111,1,-1,Suspended
6.35,42,0,88672,6,1,Medium Risk
3.73,90,6,75333,1,1,Dropout
4.37,64,3,139593,1,1,Suspended
6.15,55,6,54036,4,0,High Risk
3.26,93,1,98209,4,-1,High Risk
9.24,42,6,24719,7,1,High Risk
6.78,64,0,28019,3,0,Medium Risk
8.5,53,4,32908,1,1,Suspended
3.99,94,2,132019,6,0,High Risk
6.19,66,7,79443,8,1,High Risk
2.23,45,5,124527,2,1,Suspended
2.75,37,7,69550,9,1,Dropout
3.72,37,6,68219,3,1,Dropout
6.96,86,7,63218,6,0,High Risk
2.34,68,3,47034,7,-1,High Risk
2.06,85,1,108300,4,-1,High Risk
9.14,61,1,60599,9,-1,High Risk
9.03,35,7,82055,3,0,Dropout
2.05,46,7,31438,4,-1,Dropout
7.68,34,7,59877,8,0,Dropout
5.44,94,3,94726,3,-1,High Risk
6.71,43,0,72993,1,1,Suspended
9.32,52,1,60258,5,1,Medium Risk
5.88,59,0,45739,2,-1,Suspended
6.41,54,1,76253,9,0,Medium Risk
5.07,70,0,87154,4,0,Medium Risk
2.6,40,4,50149,7,1,High Risk
4.06,93,1,57947,9,0,High Risk
9.23,45,0,60705,3,-1,High Risk
7.7,45,5,89211,4,1,High Risk
2.05,88,2,127018,8,1,High Risk
3.03,75,6,126477,1,1,Dropout
3.75,65,4,35095,5,0,High Risk
2.74,57,5,104283,5,0,High Risk
4.18,43,1,76630,4,-1,High Risk
5.45,96,6,91326,4,1,High Risk
3.69,50,7,32692,7,-1,Dropout
3.16,99,6,13969,6,0,Dropout
2.44,59,4,44578,7,0,High Risk
3.51,91,5,16364,4,0,High Risk
4.63,65,0,67062,3,1,High Risk
7.06,86,3,51347,2,0,Suspended
2.35,66,5,36553,4,-1,High Risk
9.72,71,0,63865,7,1,Low Risk
3.32,60,7,87986,9,-1,Dropout
8.76,82,7,32337,4,0,High Risk
5.33,89,7,108064,7,-1,High Risk
5.35,30,2,122025,2,1,Dropout
5.67,94,6,98774,2,0,Suspended
8.75,48,1,119863,2,1,Suspended
9.52,96,3,143609,1,0,Suspended
6.7,45,1,25029,4,0,Medium Risk
3.12,39,3,43065,8,-1,Dropout
6.88,71,6,39092,6,-1,High Risk
6.73,56,0,104543,2,0,Suspended
6.63,41,7,31067,9,0,High Risk
2.64,77,3,128843,2,-1,Suspended
7.25,65,7,36270,9,0,High Risk
5.1,44,3,42083,7,-1,High Risk
2.54,47,7,79517,2,0,Dropout
5.17,99,3,89267,6,0,Medium Risk
8.12,90,3,63687,9,-1,High Risk
8.53,49,1,90165,3,1,Medium Risk
2.01,45,2,146132,4,-1,High Risk
6.94,99,3,82684,7,0,Low Risk
2.99,75,7,91422,1,-1,Dropout
5.59,73,1,116244,4,1,Medium Risk
7.69,72,0,109572,3,-1,High Risk
6.32,83,5,79590,8,-1,High Risk
9.47,64,4,58924,6,1,Medium Risk
6.28,51,1,89788,5,1,Medium Risk
3.87,30,3,74427,7,1,Dropout
8.47,83,7,14042,6,0,High Risk
2.51,49,5,44754,1,1,Suspended
4.55,30,0,104913,4,0,Dropout
6.62,80,0,57234,3,-1,High Risk
6.51,49,0,89526,4,1,Medium Risk
5.9,74,2,85986,8,0,Medium Risk
6.08,55,6,66396,9,1,High Risk
8.49,80,3,86441,6,0,Low Risk
5.89,93,5,110211,6,-1,High Risk
6.79,94,2,11466,4,0,Low Risk
8.97,36,2,98422,4,-1,Dropout
7.46,41,2,109956,5,0,Medium Risk
7.71,42,0,67724,6,0,Medium Risk
4.58,33,2,131136,7,0,Dropout
4.4,83,0,115686,7,0,High Risk
6.56,86,1,117573,3,-1,High Risk
5.95,64,5,43040,3,0,High Risk
4.77,74,6,123880,3,0,High Risk
5.02,76,4,82255,6,0,Medium Risk
2.48,36,5,41728,9,0,Dropout
5.72,36,7,55436,2,0,Dropout
8.77,62,0,15867,5,0,Medium Risk
2.3,33,2,84229,4,-1,Dropout
2.33,79,0,106444,3,-1,High Risk
3.98,65,1,18947,9,0,High Risk
3.34,58,7,21618,4,-1,Dropout
2.63,77,5,38633,7,-1,High Risk
8.46,59,5,148442,2,0,Suspended
4.81,82,6,109782,1,1,Suspended
8.83,35,5,17211,8,0,Dropout
5.66,47,6,149005,5,0,High Risk
7.24,62,1,148869,7,-1,High Risk
8.82,58,0,121361,4,1,Medium Risk
4.97,83,1,68502,2,0,Suspended
3.69,62,3,108234,4,1,High Risk
6.59,51,1,29627,6,0,Medium Risk
8.12,86,4,85318,7,1,Low Risk
6.88,38,1,112828,6,-1,Dropout
6.71,71,4,116975,7,0,Low Risk
2.62,58,2,81042,3,0,High Risk
3.58,64,5,146587,6,-1,High Risk
9.43,96,7,53129,4,1,High Risk
5.94,96,4,39831,7,-1,High Risk
9.76,38,3,66652,5,-1,Dropout
9.16,70,5,54439,1,-1,Suspended
5.52,39,2,19837,8,-1,Dropout
2.6,41,0,40063,9,-1,High Risk
2.46,35,6,123604,9,0,Dropout
9.24,72,5,60971,2,1,Suspended
2.03,86,3,142151,9,-1,High Risk
2.17,96,1,89823,8,1,High Risk
5.07,42,4,55203,6,0,Medium Risk
8.22,95,1,79806,2,1,Suspended
4.73,48,2,48196,6,-1,High Risk
3.75,94,2,53894,6,1,High Risk
2.13,48,1,38379,1,1,Suspended
6.07,81,4,62349,1,-1,Suspended
7.4,69,7,136796,7,0,High Risk
2.46,57,7,30923,8,1,Dropout
9.4,55,7,38756,9,-1,High Risk
3.62,52,2,137039,7,1,High Risk
7.47,59,4,141562,2,1,Suspended
3.9,50,0,106870,7,1,High Risk
6.45,76,7,112834,7,0,High Risk
2.34,35,2,39320,5,-1,Dropout
5.22,50,1,12159,1,1,Suspended
4.47,46,3,61137,9,0,High Risk
2.05,35,2,115468,6,0,Dropout
2.19,43,1,39863,3,1,High Risk
6.48,53,2,55201,1,-1,Suspended
2.98,64,5,32499,9,-1,High Risk
5.86,45,1,75756,3,1,Medium Risk
5.35,45,5,81154,9,-1,High Risk
4.55,63,7,142534,2,0,Suspended
5.4,74,5,24175,9,1,High Risk
2.68,39,5,33283,2,-1,Dropout
8.33,44,3,120782,8,-1,High Risk
4.41,55,3,37856,3,-1,High Risk
8.91,34,3,19873,2,-1,Dropout
9.27,71,4,25689,9,1,Low Risk
2.38,38,5,125828,3,-1,Dropout
3.08,42,3,22940,5,0,High Risk
9.11,81,6,52598,8,1,High Risk
2.65,58,5,141250,5,1,High Risk
3.18,60,1,35363,7,-1,High Risk
3.42,54,4,105865,7,0,High Risk
7.66,96,1,54130,2,1,Suspended
7.03,93,4,122341,3,0,Low Risk
3.55,45,7,61415,9,1,Dropout
7.86,84,2,66240,3,0,Low Risk
7.0,59,2,36928,9,1,Medium Risk
4.09,80,7,46561,4,1,High Risk
8.83,92,4,20785,4,-1,High Risk
9.11,47,6,65192,7,-1,High Risk
7.22,55,6,91010,2,1,Suspended
3.38,90,5,125375,5,0,High Risk
7.17,88,7,52771,6,1,High Risk
8.27,30,4,81916,8,1,Dropout
7.6,73,6,30008,5,-1,High Risk
3.48,66,0,64970,1,1,Suspended
8.19,77,7,130494,3,0,High Risk
7.23,90,6,123758,1,1,Suspended
6.77,99,2,114718,2,1,Suspended
4.11,32,5,96988,9,0,Dropout
8.05,90,7,77443,1,-1,Suspended
9.61,91,6,72699,9,-1,High Risk
6.06,60,7,37388,9,0,High Risk
2.49,83,1,136519,4,-1,High Risk
5.2,51,2,17951,2,0,Suspended
7.25,72,0,72287,7,0,Low Risk
9.26,68,1,117357,6,-1,High Risk
9.77,98,4,57922,9,-1,High Risk
3.59,98,1,140744,2,-1,Suspended
6.32,93,5,111025,7,-1,High Risk
2.94,47,6,137870,1,-1,Dropout
2.93,33,4,78689,1,0,Dropout
2.86,89,5,15583,2,1,Suspended
7.85,85,0,122652,8,0,Low Risk
5.53,72,6,47052,1,1,Suspended
8.03,83,2,143881,2,0,Suspended
2.29,47,1,123221,6,0,High Risk
6.2,78,3,41601,5,0,Medium Risk
4.7,76,3,17465,3,1,High Risk
2.14,49,7,39511,1,0,Dropout
3.88,53,7,54462,7,1,Dropout
5.34,86,6,88282,4,0,High Risk
5.85,70,1,147152,2,1,Suspended
9.75,67,5,37094,9,1,High Risk
8.11,51,2,91463,7,1,Medium Risk
4.55,64,1,28300,1,-1,Suspended
6.25,66,0,26562,1,1,Suspended
7.76,45,3,42634,6,0,Medium Risk
5.99,94,3,114127,1,-1,Suspended
8.26,36,3,139716,7,1,Dropout
8.85,97,5,88863,7,1,High Risk
7.47,79,4,15269,9,-1,High Risk
3.22,87,5,24380,1,1,Suspended
9.42,36,6,92987,1,1,Dropout
7.46,84,7,120776,5,-1,High Risk
5.93,67,6,95711,3,1,High Risk
6.9,58,1,122224,9,-1,High Risk
9.16,32,1,36655,2,1,Dropout
2.54,30,4,93123,6,1,Dropout
6.83,59,3,82635,1,-1,Suspended
3.53,92,6,146873,3,-1,Dropout
6.1,91,2,92203,1,0,Suspended
5.68,87,1,98177,7,-1,High Risk
4.67,89,5,58639,1,1,Suspended
2.43,77,2,127925,9,-1,High Risk
6.25,46,7,29585,9,0,High Risk
8.34,97,0,63364,2,0,Suspended
3.61,50,1,88518,8,0,High Risk
6.17,47,1,141567,4,-1,High Risk
6.68,46,0,84462,4,0,Medium Risk
5.92,76,2,42363,9,-1,High Risk
4.01,44,3,36870,3,0,High Risk
9.17,55,1,148925,1,0,Suspended
8.47,32,1,21049,3,-1,Dropout
4.33,78,7,67986,1,1,Suspended
8.5,81,3,67204,6,1,Low Risk
4.65,45,7,43980,6,0,High Risk
5.48,54,1,39813,8,-1,High Risk
5.62,35,7,47011,7,-1,Dropout
3.71,55,1,50096,9,-1,High Risk
4.97,96,3,120489,2,0,Suspended
8.28,78,3,31209,1,-1,Suspended
6.82,55,4,129779,8,0,Medium Risk
2.17,52,0,16447,2,1,Suspended
9.32,84,3,148561,4,0,Low Risk
6.47,63,3,126220,6,-1,High Risk
9.0,51,1,108827,4,1,Medium Risk
6.79,80,7,80111,3,0,High Risk
3.61,82,2,27199,7,1,High Risk
7.31,44,7,10534,5,-1,High Risk
2.93,32,4,74016,5,-1,Dropout
8.52,67,7,44409,8,-1,High Risk
5.4,43,6,39709,6,1,High Risk
4.02,70,1,55689,1,-1,Suspended
8.18,30,3,135865,2,0,Dropout
7.55,33,1,143316,3,0,Dropout
2.95,35,7,80268,3,1,Dropout
6.86,41,0,143639,5,0,Medium Risk
8.34,37,3,33004,6,0,Dropout
4.16,50,3,85057,7,1,High Risk
5.92,30,1,56501,6,0,Dropout
8.73,73,1,25734,6,-1,High Risk
6.86,67,7,113986,8,-1,High Risk
6.04,86,5,58570,2,-1,Suspended
5.56,77,1,61482,9,0,Medium Risk
2.48,55,0,47706,7,0,High Risk
5.14,60,7,149718,8,-1,High Risk
8.58,47,6,98992,5,0,High Risk
6.81,80,1,33548,6,0,Low Risk
4.59,59,3,41625,7,-1,High Risk
9.54,87,1,95155,1,1,Suspended
4.22,97,1,104948,3,0,High Risk
7.91,83,7,96807,2,-1,Suspended
2.88,47,0,106367,5,0,High Risk
6.26,42,2,69164,3,0,Medium Risk
6.02,87,1,13326,2,1,Suspended
7.8,31,6,47860,7,0,Dropout
8.64,45,6,116749,9,1,High Risk
8.86,34,2,87129,4,-1,Dropout
4.12,79,6,64633,8,1,High Risk
7.22,57,7,18446,4,-1,High Risk
4.91,33,2,128422,5,-1,Dropout
3.15,69,4,45450,4,1,High Risk
2.16,54,3,116379,5,-1,High Risk
2.68,41,4,103109,4,0,High Risk
6.85,98,1,141949,2,-1,Suspended
5.47,87,5,52025,6,-1,High Risk
4.59,85,0,95092,3,0,High Risk
2.25,44,5,28830,5,-1,High Risk
5.02,80,1,117509,4,1,Medium Risk
7.01,65,0,29403,2,-1,Suspended
5.39,90,4,115386,3,0,Medium Risk
3.71,33,4,37675,4,-1,Dropout
4.26,30,6,67104,8,1,Dropout
6.5,68,1,137536,6,1,Medium Risk
5.27,78,2,121560,4,1,Medium Risk
4.0,78,7,79351,7,0,High Risk
2.3,60,6,129975,3,1,Dropout
5.92,78,3,106952,4,0,Medium Risk
5.01,65,2,107493,1,0,Suspended
8.74,78,3,97508,8,1,Low Risk
8.82,87,6,13317,5,1,High Risk
8.42,45,4,115364,1,0,Suspended
8.55,48,5,67388,2,0,Suspended
3.01,81,2,43132,7,-1,High Risk
3.3,97,2,49236,7,0,High Risk
5.56,70,4,125140,6,1,Medium Risk
9.67,80,4,73879,1,-1,Suspended
4.2,59,4,11168,5,0,High Risk
3.05,81,4,40373,3,0,High Risk
2.08,91,4,13626,1,0,Suspended
3.96,35,0,64144,7,0,Dropout
5.8,85,5,144515,4,0,High Risk
4.17,57,4,93732,2,1,Suspended
4.2,48,7,83568,1,-1,Suspended
2.43,50,2,101288,6,-1,High Risk
4.02,81,3,34502,7,0,High Risk
4.61,95,2,32738,8,1,High Risk
6.45,71,1,25123,9,-1,High Risk
2.19,31,6,36128,5,1,Dropout
8.76,68,3,63144,5,0,Medium Risk
5.89,58,0,116802,8,0,Medium Risk
4.3,71,0,68123,2,-1,Suspended
8.64,52,0,68655,9,1,Medium Risk
2.25,89,4,59570,6,1,High Risk
4.67,49,0,29156,1,-1,Suspended
5.94,76,2,105377,2,1,Suspended
3.09,73,7,97201,7,0,Dropout
3.03,88,6,131544,8,1,Dropout
6.68,34,5,136683,4,1,Dropout
9.54,54,3,66523,2,1,Suspended
3.35,60,6,113215,4,-1,Dropout
2.4,97,6,89872,7,-1,Dropout
2.37,34,3,102969,6,1,Dropout
5.21,46,3,86102,9,1,Medium Risk
8.63,63,5,124161,6,-1,High Risk
7.77,63,3,93021,6,0,Medium Risk
5.26,61,2,98578,6,0,Medium Risk
9.44,96,4,136044,1,1,Suspended
3.98,95,3,127897,7,-1,High Risk
4.11,98,7,38552,3,-1,High Risk
5.05,33,7,76490,3,1,Dropout
5.47,69,7,51269,3,1,High Risk
4.09,69,4,100925,6,-1,High Risk
3.43,31,0,42332,4,0,Dropout
4.57,72,2,53481,6,1,High Risk
3.07,96,2,94363,8,-1,High Risk
7.4,68,4,20024,9,-1,High Risk
6.44,42,7,80601,1,-1,Suspended
7.86,74,2,47122,8,-1,High Risk
6.04,85,1,46713,4,0,Medium Risk
5.47,60,2,109397,9,1,Medium Risk
5.93,86,1,24799,9,1,Medium Risk
4.32,74,2,64362,6,0,High Risk
8.3,66,0,56705,5,1,Medium Risk
8.43,66,5,133711,2,1,Suspended
3.27,83,5,42930,2,0,Suspended
6.12,70,7,106058,5,1,High Risk
5.4,74,3,83495,7,0,Medium Risk
9.02,88,5,115185,5,1,High Risk
5.54,77,6,132002,9,-1,High Risk
8.69,80,6,57997,3,-1,High Risk
9.26,87,2,69412,7,1,Low Risk
4.71,95,2,14042,2,1,Suspended
7.05,64,6,128171,7,-1,High Risk
9.11,96,6,137101,5,-1,High Risk
5.33,89,5,128972,2,0,Suspended
9.27,99,7,68032,3,0,High Risk
7.16,90,4,13052,6,1,Low Risk
4.09,34,5,30750,1,-1,Dropout
3.09,76,6,76060,8,1,Dropout
5.85,95,5,53162,6,0,High Risk
3.91,75,0,14551,8,-1,High Risk
6.29,93,5,57636,8,1,High Risk
6.92,93,7,59756,9,1,High Risk
7.33,39,4,34143,4,-1,Dropout
3.44,52,0,79351,6,0,High Risk
3.58,58,2,126528,8,1,High Risk
7.36,71,6,117561,4,-1,High Risk
2.98,75,1,107352,5,1,High Risk
9.51,71,3,88972,3,0,Low Risk
6.51,99,4,134481,2,1,Suspended
8.31,51,4,107382,8,-1,High Risk
2.15,30,4,88572,9,1,Dropout
8.15,84,2,80871,6,-1,High Risk
9.14,94,7,69902,3,1,High Risk
7.04,83,6,105119,9,0,High Risk
6.63,97,2,74994,2,0,Suspended
4.3,79,6,123606,7,1,High Risk
4.02,78,1,61360,5,1,High Risk
3.6,61,3,71715,2,-1,Suspended
9.38,57,4,62224,8,1,Medium Risk
4.37,83,3,44808,7,-1,High Risk
6.02,94,4,122255,3,0,Medium Risk
5.53,82,3,118835,4,-1,High Risk
3.29,70,1,110417,5,1,High Risk
2.14,58,5,84329,5,-1,High Risk
8.95,60,2,65856,5,0,Medium Risk
7.4,43,2,31602,7,0,Medium Risk
3.9,31,2,136545,4,-1,Dropout
5.36,41,2,38036,1,0,Suspended
9.3,72,0,72532,9,-1,High Risk
3.97,47,0,42317,9,-1,High Risk
6.94,54,6,129415,4,0,High Risk
5.57,78,3,70646,3,1,Medium Risk
8.77,93,5,36028,2,0,Suspended
4.1,87,7,103144,9,0,High Risk
2.6,81,4,39483,2,-1,Suspended
3.06,60,4,31058,2,-1,Suspended
8.36,86,4,87597,9,0,Low Risk
5.12,32,5,109864,3,-1,Dropout
9.07,64,6,125158,9,0,High Risk
2.55,70,3,82255,2,0,Suspended
4.39,98,1,60281,8,1,High Risk
4.81,63,4,86870,6,0,High Risk
6.17,42,2,81805,8,-1,High Risk
4.69,89,1,140864,1,0,Suspended
3.94,47,4,12147,8,0,High Risk
7.02,82,2,143085,2,1,Suspended
7.74,59,7,85361,9,1,High Risk
9.49,49,7,96296,3,-1,High Risk
4.68,56,7,59853,3,0,High Risk
2.06,68,3,50736,3,-1,High Risk
7.71,45,6,136598,8,-1,High Risk
5.43,98,0,40988,1,1,Suspended
5.5,47,1,22404,7,-1,High Risk
5.75,94,0,44160,6,0,Medium Risk
9.05,47,2,15544,8,0,Medium Risk
2.64,91,4,90021,6,0,High Risk
5.8,41,2,13981,6,1,Medium Risk
3.01,79,0,135580,5,-1,High Risk
3.42,84,2,101656,4,0,High Risk
8.65,80,1,141049,8,1,Low Risk
7.2,77,7,80246,9,-1,High Risk
9.52,97,4,30608,2,-1,Suspended
5.97,66,4,43123,7,0,Medium Risk
3.65,64,7,55406,9,1,Dropout
4.86,78,7,64943,3,0,High Risk
4.1,95,5,11906,8,0,High Risk
9.65,54,7,109764,3,0,High Risk
4.41,38,5,83302,5,-1,Dropout
2.9,56,1,96394,6,1,High Risk
8.02,57,4,72119,4,1,Medium Risk
8.44,95,7,29157,7,0,High Risk
3.15,40,4,39680,2,1,Suspended
6.49,75,4,57218,7,-1,High Risk
2.11,56,2,66321,7,-1,High Risk
8.42,34,3,109244,5,-1,Dropout
7.57,90,5,62127,6,-1,High Risk
3.17,30,2,80404,3,-1,Dropout
2.65,64,3,103789,5,0,High Risk
6.89,86,6,23237,3,-1,High Risk
9.29,98,7,114647,8,0,High Risk
7.22,45,1,75867,7,-1,High Risk
2.77,76,3,113399,2,1,Suspended
2.79,89,2,104192,5,0,High Risk
4.5,53,1,146496,2,1,Suspended
5.26,98,3,66630,3,0,Medium Risk
7.46,52,4,107037,1,-1,Suspended
8.35,46,6,134984,1,0,Suspended
6.18,49,5,17526,8,-1,High Risk
8.28,91,5,66096,7,0,High Risk
6.59,61,4,89888,3,1,Medium Risk
9.09,63,3,39592,4,0,Medium Risk
3.86,40,2,35020,1,1,Suspended
4.52,45,7,143922,1,-1,Suspended
9.53,46,7,91029,8,1,High Risk
7.92,95,0,38251,5,-1,High Risk
3.85,99,6,80400,5,0,Dropout
9.15,76,6,116732,9,0,High Risk
7.33,75,6,127369,8,1,High Risk
9.07,46,5,135695,8,-1,High Risk
6.55,54,2,41007,4,0,Medium Risk
2.99,66,1,67480,3,0,High Risk
7.24,59,4,127595,3,1,Medium Risk
9.8,60,0,19190,4,0,Medium Risk
4.34,41,6,39086,5,-1,High Risk
7.9,55,3,111505,4,1,Medium Risk
6.98,79,5,63014,3,1,High Risk
5.68,95,2,103831,5,0,Medium Risk
3.31,79,5,49029,3,-1,High Risk
9.38,92,3,138692,7,0,Low Risk
5.94,68,0,34596,3,0,Medium Risk
5.85,79,6,68436,4,0,High Risk
5.51,64,4,39332,2,-1,Suspended
5.59,72,6,11541,6,0,High Risk
6.38,41,4,141841,7,-1,High Risk
3.64,36,5,113579,1,0,Dropout
4.81,35,2,142385,8,1,Dropout
2.02,53,0,141627,9,1,High Risk
2.57,52,4,121266,4,-1,High Risk
9.23,53,7,94085,5,1,High Risk
9.27,78,1,145453,8,1,Low Risk
6.41,55,0,70030,8,1,Medium Risk
4.86,82,1,145653,4,0,High Risk
8.09,54,6,121259,5,1,High Risk
5.91,49,2,131211,8,1,Medium Risk
5.05,52,4,12413,2,0,Suspended
7.69,38,7,124897,9,-1,Dropout
8.22,54,2,127798,7,1,Medium Risk
4.63,92,3,58114,3,1,High Risk
9.16,62,7,135266,6,1,High Risk
3.49,77,1,57819,6,0,High Risk
2.76,69,3,108682,2,-1,Suspended
7.18,84,7,24779,1,1,Suspended
8.63,48,7,32784,4,-1,High Risk
5.47,61,4,88608,8,-1,High Risk
2.66,38,7,135014,3,0,Dropout
9.42,82,5,117800,3,0,High Risk
2.65,53,1,68645,8,1,High Risk
5.79,78,5,62021,5,1,High Risk
2.11,63,7,82782,1,-1,Dropout
6.09,81,5,139999,9,-1,High Risk
9.28,50,1,74340,5,0,Medium Risk
7.34,42,0,19491,9,1,Medium Risk
2.64,39,0,10368,9,1,Dropout
7.32,39,0,137152,9,1,Dropout
5.01,65,6,20292,7,-1,High Risk
3.48,33,4,117293,8,1,Dropout
7.03,60,5,121695,7,0,High Risk
5.23,85,0,13641,7,1,Medium Risk
2.29,84,6,37197,8,-1,Dropout
5.57,84,6,91187,9,-1,High Risk
6.22,60,4,84353,8,1,Medium Risk
2.47,71,3,23334,8,0,High Risk
3.63,60,4,139263,6,-1,High Risk
3.35,72,0,126082,3,1,High Risk
5.58,67,7,13650,7,-1,High Risk
8.5,37,0,121904,1,0,Dropout
5.46,56,7,81017,1,1,Suspended
8.21,49,7,48032,3,0,High Risk
5.23,60,3,95435,7,-1,High Risk
2.98,68,1,122223,9,1,High Risk
7.94,35,1,38074,4,1,Dropout
4.62,83,0,128724,2,-1,Suspended
4.09,60,2,43161,8,-1,High Risk
6.02,99,2,118435,5,1,Medium Risk
2.89,88,4,17213,6,1,High Risk
7.12,68,4,49601,2,1,Suspended
6.85,62,6,85386,6,0,High Risk
2.39,91,6,98887,7,0,Dropout
6.8,32,2,34485,4,0,Dropout
9.66,59,0,84554,3,0,Medium Risk
8.65,88,5,61514,1,1,Suspended
7.13,39,2,27221,9,0,Dropout
7.07,46,7,112951,3,1,High Risk
5.76,93,2,79893,8,0,Medium Risk
5.84,72,6,19964,7,0,High Risk
3.86,78,3,92212,4,1,High Risk
2.2,53,2,78936,3,1,High Risk
4.24,86,4,109862,3,0,High Risk
9.2,41,1,52438,2,1,Suspended
9.65,63,6,36442,2,-1,Suspended
3.46,66,0,15062,6,-1,High Risk
8.7,70,5,127450,8,0,High Risk
2.07,99,2,128428,7,0,High Risk
6.73,87,5,134476,7,-1,High Risk
2.67,94,2,95765,2,0,Suspended
5.45,94,4,53876,4,-1,High Risk
2.07,60,2,73888,7,0,High Risk
7.89,55,4,98720,6,-1,High Risk
3.43,34,3,101141,4,-1,Dropout
6.37,55,6,99766,4,-1,High Risk
2.61,50,5,80799,8,-1,High Risk
4.89,32,0,20514,1,0,Dropout
7.77,51,5,147328,1,-1,Suspended
3.49,56,0,138845,8,1,High Risk
5.0,92,0,35570,1,-1,Suspended
6.3,93,2,146824,2,0,Suspended
4.02,99,3,58075,7,1,High Risk
2.68,66,5,133313,6,-1,High Risk
3.56,80,7,57279,6,-1,Dropout
7.08,94,3,149565,4,0,Low Risk
8.3,40,3,111545,2,1,Suspended
5.42,65,3,52782,1,-1,Suspended
6.09,87,7,36751,7,-1,High Risk
